?? ? ??? ?????,"??? ? ? ?? ?? ???, ??? ??????."
?? ???? ??? ??? ? ??????,"???? ??? ?? ??? ? ?? ?? ????, ?? ? ?? ???? ???"
,
,
??CGV?? ??????,"??CGV?? ?? ?????, ????? ?? ?? ?????."
,
,
,
,
???? ????? ??? ??? ????,? ? ?? ? ?? ??? ?? ???? ? ??? ?? ? ?????
,
?? ????? ????? ??? ?? ????,"????? ? ???? ??? ?? ??, ?? ??? ????"
?? C? ??? ????? ??? ????,"C? ?? ??????, ???? ???? ? ????"
,
????? ????? ??? ????,"????? ????? ??? ?????, ?? ?? ?? ?????."
,
??? ??? ?????,"??? ??? ??? ???, ????? ? ? ???"
,
30??? ?? ??? ??????,"30??? ? ???, ?? ??? ???? ? ??? ??????"
??? ??? ?????,"?? ??? ????, ?? ??? ??? ????"
?? ?????,"?? ????, ?? ? ??? ?? ????"
?????? ?? ???? ????,??????? ?? ?? ?? ?? ? ???? ???? ?? ????.
???? ?????,"? ? ?? ?? ????, ? ? ???? ???."
????? ??? ???,"????? ??? ????, ? ?? ?? ????? ????"
???? ???? ??? ?? ????.,"???? ?? ?? ?? ? ???, ? ??? ???."
,
???? ???? ??? ?????,???? ???? ??? ?? ? ??? ??????.
??? ??????,??? ???? ? ? ?? ??? ?? ? ?????
,
,
??? ??? ?? ????,"??? ??? ????, ??? ?? ? ????"
?? ?? ??????,? ???? ?? ???? ??? ? ??? ?? ?????.
,
?????? ?? ???? ??? ?????,?????? ???? ??? ???? ???? ????
,
,
??? ????,"? ?? ?????, ?? ? ?? ?????"
??? ?????,??? ??? ??? ?? ?? ??? ???? ???
???? ??? ????,???? ? ????? ??? ?? ??? ?? ? ?????
?? 1???? 2???? ????????,?? 1???? 2???? ???? ? ??? ?? ??? ?? ? ????
??? ?? ?? ???? ?????,??? ? ?? ?? ???? ? ??? ?? ?? ?????.
,
,
??SRT?? ??? ????,?? SRT?? ?? ??? ??? ?? ?? ???? ? ?????.
,
,
??? ?? ??? ????,"? ?? ?? ?? ????, ??? ? ?? ?? ?? ??? ?????."
,
,
?????? ??????,????? ? ????? ???? ?? ??? ???.
???? ?????? ?? ????,??? ? ?? ?????? ?? ? ??? ? ? ??? ? ?????
????? ?? ?????,????? ????
????? ?????,? ? ??? ??? ?? ????
???? ???? ??? ????.,???? ??? ?? ?? ??? ? ? ??? ?? ??? ???.
,
???? IFC?? ??? ????.,"??? IFC? ??? ???, ???? ? ? ?? ?? ?? ????"
????? ??????,????? ???? ?? ????? ?????
????? ????? ??? ??? ?????,????? ????? ? ?? ?? ? ?? ??? ????
??? ??? ?????,????? ?? ??? ??? ?? ? ????
,
,
???? ???? ??? ??????,??? ??? ?? ??? ?? ??? ??? ?????
?? ????? ??? ?????,"?? ?? ??? ??? ?????, ??? ?????"
,
??? ????? ??????,??? ???? ?? ??? ?? ?? ?????
1??? ??? ????,1??? ?? ???? ??? ? ??? ?? ?????
1??? ???? ???.,"1??? ???? ???, ??? ?? ? ??? ? ? ??????"
???? ?? ??????,??? ?? ?? ??? ? ? ??? ??? ? ???? ????
????? ????,???? ???? ??? ? ????????
?? ???? ?????,"?? ???? ????, ??? ? ?????"
???? ??? ????,"???? ??? ???? ???, ?? ?? ? ? ????."
??? ??? ??? ??? ?????,"??? ??? ??? ????, ?????? ??????"
?? ??? ??? ??? ??????,"??? ??? ??? ????, ??? ??? ? ????"
?????? ? ?????,?????? ?? ? ?? ???? ??? ??? ??????
???? ???? ????? ??????? ?? ????,???? ???? ????? ??????? ?? ?? ? ???? ?????
????????? ??? ?? ??????,???????? ??? ? ?? ????? ?? ? ?????
?? ?????? ???? ?????,????? ???? ?? ?? ???? ??? ?????
????? ??? ?? ?????,? ? ??? ?? ???? ?? ? ???? ?? ? ???????
?????? ?????? ????,?????? ????? ???? ?? ? ???? ??? ??????
,
???? ??? ??? ??? ??? ?????,?????? ??? ??? ??? ??? ??? ? ? ??? ?? ? ?????
???? ?? ?????,"??? ?? ?? ??? ? ?????, ?? ??? ???? ????"
??? ???? ?????,??? ? ??? ???? ??? ????? ????
AT???? ?????,AT??? ???? ??? ???? ?? ???…
,
?? ???? ??? ?????? ??? ??? ????,???? ?? ???? ??? ??? ??? ?? ?? ???????
,
?? ???? ?? ??? ????.,"?? ?? ?? ?????, ??? ??? ?? ???? ????"
,
????????,"?? ?? ????, ????? ?? ? ????."
????? ??????,"????? ??? ?????, ??? ??? ? ? ????"
????? ??? ??? ???,"???? ??? ??? ????, ?? ? ?? ??? ?? ???"
??? ????? ?? ?? ??? ????,"??? ????? ?? ??? ?? ? ?????, ?? ????"
??? ??? ??????,"?? ??? ?????, ?? ? ?? ?? ???? ???"
????? ?? ??????,????? ?? ?? ? ????? ?? ?? ???
???? ?????,"???? ?? ?? ?? ???, ?? ???? ??? ?? ???"
?? ?? ????? ??? ?? ??? ????,???? ????? ? ?? ?? ?? ??? ?? ??? ?? ?????
,
,
??? ?? ????,??? ?? ?? ???? ?? ? 30? ???? ?? ????
,
???? ????? ????,"???? ???? ?????, ?????? ?? ?? ???????"
,
?? ??? ???? ?? ?? ??? ????,?? ??? ???? ?? ?? ?? ?? ? ??? ?? ? ???
,
? ????,"? ? ?? ???, ?? ?? ?? ? ?????"
,
???? ???? 2???? ????,???? ?? ?? 2??? ? ??? ?? ? ?????
,
???? ????,"? ? ????? ? ?????, ???? ??? ??? ? ??."
???? ??????,? ?? ???? ???? ???? ??? ??? ? ???? ???
???????,"??????, ?? ??? ?? ??? ????? ??."
?? ??????? ??????,?? ??????? ?? ???? ???? ?? ?????.
,
???? ????? ?? ????,2??? ????? ???? ?? ?? ???? ? ?????.
,
2???? ??????? ??? ?????,"2???? ?????? ??? ?? ???, ??? ?????"
? ??? ??? ??????,"? ??? ??? ?????? ?? ?? ? ???, ?? ?? ? ????? ????"
,
?? ???? ??? ????.,"??? ?????, ? ??? ? ????? ?? ?????."
,
,
??? ?? ?? ??? ????,? ?? ? ? ?? ??? ?? ? ??? ??? ? ? ?? ???? ???
???? ???? ???????,"?????? ??? ??? ????, ?? ? ?? ? ? ???."
????? ?????,????? ????? ?? ?? ?? ? ???.
?? ???????,?? ??????? ? ?? ?? ?? ?? ??????.
?? ????? ?? ??? ?? ?????,? ? ?? ?? ???? ?? ? ?? ??? ??? ?? ????
???? ??? ????,?? ?? ??? ??? ???? ????? ?? ? ?????.
,
,
?????? ?????? ??? ?? ????.,"?????? ???? ?? ?? ? ???, ?? ??? ???"
,
,
???? ?? ????,"? ? ?? ???, ? ??? ???? ???? ?? ?."
?? ????? ?? ?????,"????? ? ?????, ?? ?? ??? ? ? ???."
??????? ??????,???? ??? ?? ? ??? ??? ??? ???? ? ?????
????? ??????,?? ??? ??? ??? ?? ? ??? ?? ? ???
,
??? ??????,?? ??? ? ?? ?? ? ??? ?? ?? ??? ?? ?.
,
,
????? ?????? ?? ????.,"????? ??? ????, ?? ?? ? ? ????."
,
,
?? ????? ??? ?????.,"???? ????, ?? ??? ??? ???? ??."
????? ??????,? ???? ??? ? ???? ?? ??? ?? ????.
????? ????? ?? ?????????,????? ??? ???? ??? ?? ?? ?? ? ??? ????.
?????? ????? ????,?? ?? ????? ??? ??? ?? ???? ? ?.
?? ??????,"? ? ?? ???? ???, ?? ? ??? ?? ??."
????? ??????,? ?? ??? ? ???? ?? ???? ?? ? ? ??.
,
,
???? ???? ??? ?? ????.,???? ?? ?? ?? ?? ? ??? ????? ??? ?.
,
???? ???? ??? ?????,"???? ???? ??? ??, ??? ??? ? ??? ?."
??? ??????,"??? ???, ?? ?? ?? ???? ??? ??."
,
,
??? ??? ?? ????,"??? ??? ?? ??, ????? ?? ???? ?? ?."
?? ?? ??????,??? ??? ?? ?? ???? ?? ? ?? ???
,
???? ?? ???? ??? ?????,"???? ?? ??? ? ? ??? ???, ? ??? ?? ??."
,
,
???? ?? ? ? ???,???? ?? ? ?? ? ?? ?? ??? ?? ?? ?? ? ??.
??? ??? 2?????,?????????? 2?? ??? ??? ???? ?? ?.
??? ??? ???,"??? ??? ???? ???, ?? ?? ??? ? ????."
?? ??? ?? ????,??? ?? ?? ?? ??? ??? ?? ?? ??? ??.
?? ???????? ???,????? ??? ? ??? ?? ???.
???????? ????? ??? ? ? ???,??? ???? ???? ??? ?? ?? ?? ?? ?? ?? ???.
,
????? ??? ????,"?????? ??? ?? ??, ?? ??? ??? ? ? ???."
??? KT??????.,"KT??? ?? ??? ???, ?? ?? ? ? ??? ???."
???????,"?????? ???? ??, ??? ? ? ?? ? ? ??."
"?, ???? ??? ???.","??? ? ?? ?, ?? ? ?????? ???."
??? ??? ????,??? ??? ??? ?? ?? ??? ?? ???.
? ??? ??? ????,"? ??? ? ?? ?, ?? ???? ? ????"
?? ????? ??????,"? ? ?????? ? ?????, ??? ? ??? ???."
??? ????,"?? ??? ??, ? ?? ?? ??? ? ??."
? ??? ??? ????,"? ??? ??? ???, ?? ???? ? ??? ? ?."
?? ?? ? ????,"?? ????, ? ??? ?? ?? ??? ?? ???"
? ? ?? ????,? ? ? ??? ??? ?? ??? ? ?? ? ????
??? ??????,"??? ?????? ????, ?? “???” ?? ??."
??? ??? ? ?????,"??? ??? ? ????, ? ??? ?? ??? ? ?????"
?? ???? ? ????,"?? ?? ??? ?? ? ????, ?? ? ??? ? ??? ??."
,
??? ? ?????,"??? ? ???? ??? ??? ? ???, ? ???"
,
,
????? ????? ?? ??? ?? ????,????? ?? ???? ????? ??? ? ? ??.
???KT ??????,"KT??? ?? ???, ?? ?? ?? ??."
???????,??? ??????? ?? ???? ???? ??.
? ????? ??? ???,"???? ? ?? ??, ???? ????"
??? ?? ?????,?? ??? ??? ?? ??? ???????
??? ??? ?????,"?? ??? ? ????, ?? ????"
??? ? ???? ????,??? ??? ? ???? ???? ????.
12?? ???? ??? ??? ?????,12?? ????? ?? ?? ? ??? ???? ? ??? ?? ???
,
,
,
,
,
,
??? ???? ??? ? ???,"??? ??? ??? ? ?? ??, ? ? ??? ??."
,
,
,
?? ?? ? ???,"??? ?? ? ?? ??, ?? ???? ??? ??."
?? ??/???? ? ? ???,?? ??? ???? ??? ?? ? ??? ???? ??? ??.
??? ??????,"??? ??? ??, ?? ?? ??? ? ????"
????? ?????,????? ?? ??? ??? ? ???? ???
???? ???? ??? ?? ????.,"???? ?? ?? ?? ? ????, ?? ? ??? ??? ???."
,
,
?? KTX? ????,KTX? ?? ? ??? ?? ??? ? ??
??? ?????,"??? ????? ???? ?, ?? ?? ??? ??."
????? ?? ?????,"????? ??? ??? ??, ?? ?? ???"
,
,
????. ??? ??????,??? ? ?? ? ?? ??? ?? ????? ??? ????
?????? ????? ??? ?? ????.,?????? ??? ?? ?? ?? ?? ? ????
,
,
???? ?? ????,"? ? ?? ??? ? ???, ??? ?? ??? ?? ???."
?????  ????? ?? ?????,"????? ????? ??? ? ? ??, ?? ??? ????."
?????? ??????,??? ??? ??? ?? ? ??? ??? ? ??? ?? ? ???
????? ??????,"?? ??? ???? ? ??? ???, ?? ??."
,
??? ??????,??? ? ???? ???? ?? ?? ??
,
,
?????? ????? ??? ??? ???? ????,"????? ?????? ? ???, ?? ?? ???? ?? ???"
??? 4???? ?? ?? ??? ?? ???,??? 4?? ?? ??? ?? ?? ?? ??? ??? ???.
??? ???? ?????,??? ? ??? ??? ??? ?? ? ??? ???.
,
4??? ??? ??? ?????? ? ????,4??? ??? ??? ??? ?? ?? ? ?? ???? ?? ? ???
,
,
???? ??? ????,???? ??? ????
???? ???? ????,???? ???? ????
???? ???? ?? ????,???? ? ?? ????
????? ???? ??? ??? ?????,????? ???? ??? ??? ?????
???????? ???? ????,???????? ???? ????
???? ???? ??? ? ???,???? ???? ??? ? ???
??????? ???? ?????,??????? ???? ?????
? ??.. 10? ??????? ?????,? ??.. 10? ??????? ?????
,
,
G Pass?? ?? ?????,????? ?? ?? ?? ?? ? ?? ?? ??? ?????
?? ???????,?? ??? ??? ? ?? ???? ???? ???
??? ???? ???,??? ?? ?? ?? ? ??? ???? ?? ? ???
???? ???? ?? ??? ???,??? ??? ?? ?? ? ?? ? ?? ??? ??? ????
?? ?????,?? ??? ???? ?? ?? ? ???
,
??? ?????,?? ??? ????? ?? ???? ? ???
??? ????? ???,? ? ?? ?? ? ??? ??? 10? ??? ? ??
??? ??? 15? ??? ??? ????,? ?? ???? ?? ? ?? 15?? ? ??? ?? ? ??? ???
???? ??? ???,???? ??? ???? ? ?? ? ??
???? ?? ???? ? ???,?? ????? ??? ?? ?? ?? ?? ? ?? ??? ?? ????
????? ????,????? ???? ? ??? ? ?? ?? ?? ???? ?
,
???? ???? ??? ????. ??? ??? ?? ????,??? ??? ?? ? ?? ?? ??? ? ??? ??? ??
,
????? ??? ???? ?? ?????,?????? ??? ?? ?? ?? ?? ?? ??? ? ?? ??
,
??? ?? ???????,?? ?? ??? ??? ?? ? ? ??? ?? ????
,
,
?????? ??? ??? ??????,???? ?? ?? ? ??? ? ? ??? ?? ??? ? ??? ????
???? ???? ??????,??? ? ???? ? ?? ?? ?? ???? ?? ? ??
,
????? ????? ????? ??????.,????? ?? ?? ?? ?? ? ?? ??? ???
,
,
,
?? ??? ??????,"?? ??? ?????, ?? ?? ?? ? ??? ?? ? ??? ????"
????? ????? ? ?? ??? ????,???? ??? ??? ?? ? ??? ?? ?? ??? ???? ?? ?…
,
??? ???? ????,"?? ??? ??? ????, ?? ? ?? ???? ?? ? ?????"
3??? ??? ???????,3? ?? ??? ?? ???? ?? ???? ?? ?? ???? ?? ??.
,
???? ??? ????? ??????,???? ?? ??? ??? ? ?? ?? ?? ???? ???
,
????? ??? ??? ???????,"?? ????? ??? ? ???? ??? ???, ? ??? ????."
??? ????? ????,??? ????? ?????? ?? ??? ?? ?? ??? ??.
????? ??????,?? ??? ??? ??? ??? ? ??? ?? ??? ??.
?? ???????? ??? ??????,"??????? ? ?? ? ???? ???, ???? ? ? ???? ???"
??? ??? ?? ????? ????? ??????,"????? ?? ?? ??? ?? ?? ??? ??? ? ??????, ??."
???? ????? ???? ??? ???? ?? ??? ??? ????,???? ???? ?? ?? ??? ? ? ?? ?? ? ???? ? ??? ?? ?.
,
???? ????? ??????? ?????????,? ?? ?? ??? ?? ?? ? ???? ???? ? ??? ?? ?? ??????
???? ????? ??? ???? ???.,???? ????? ???
??? ??? ???? ??? ??? ????,"???? ??? ? ?????, ??? ??? ???? ????????."
?? ?? ?? ????,?? ?? ?? ?? ??? ?? ??? ???? ?? ????.
????? ???? ??????,??? ??? ??? ?? ?? ?? ? ?? ? ? ???? ???.
??? ???? ????,"?? ?????, ?? ?? ???? ?? ?? ??? ? ??? ???"
,
??? ??? ?????,??? ?? ?? ???? ? ??? ? ?? ? ? ????
??? ???? ??? ????,??? ????? ???? ?? ???
??? ??? ????,?? ? ?? ?????
??????,?? ?????? ? ? ??? ??? ? ? ? ??? ? ???.
???? ?? ??????,"????? ???????, ? ?? ?? ??? ???? ????"
,
??? ??? ?????,?? ??? ?????? ?? ?? ?? ???????.
????? ?????? ??? ?? ????,????? ?????? ??? ??? ??? ????? ?? ?? ?? ???.
,
??? ?? ????,??? ?? ??? ?? ?? ?? ? ? ?? ????
???? ????? ?? ?????,???? ???? ? ? ???? ???? ?? ? ???? ????.
??? ????? ?? ?????,??? ??????? ??? ??? ?? ??? ?? ? ?????
,
????? ???? ????? ??????.,????? ?? ?? ???? ? ???? ?? ?? ???? ? ?? ????
,
,
,
?? ??? ??????,?? ??? ?? ????? ?????? ?? ??? ?? ? ????.
????? ????? ? ?? ??? ????,??? ???? ??? ???? ????? ?? ??? ?? ????
,
??????? ??? ?????,?? ?? ??? ? ?? ?? ??? ??? ? ?? ? ?? ????
?? ???? ????????,?? ???? ? ?? ??? ??? ???? ???? ????
,
????? ???? ??? ??????.,????? ?? ?? ??? ?? ??? ?? ?? ??? ?? ? ???.
,
,
,
????? ??? ?????,????? ??? ???? ?? ? ???? ?? ??? ???? ???.
??? ??? ???,??? ??? ?? ???? ?? ???? ??? ???.
??????????,?? ?? ?????? ?? ?? ?? ??? ???? ???
??????,???? ? ???? ?? ??? ? ?????
??? ??????,??? ?? ?? ??? ?? ?? ? ???? ?????
???? ???? ??? ?? ????.,???? ?? ?? ?? ??? ??? ?? ????.
,
?? 8???? ????,8? ?? ?? ???? ?? ?? ?? ? ????.
9? 15??? ??? ????,9? 15?? ????? ?? ? ?? ? ??? ?? ? ????.
??? ??? ????,"??? ??? ??? ????, ??? ? ??? ? ???"
???? ????? ??????,??? ?? ???? ?????? ?? ?? ???? ?? ???.
??? ???? ????,?? ??? ??? ? ???? ?? ?? ??? ???? ? ???
????????,? ? ??? ???? ??? ?? ??? ? ??????.
???? ??? ????,???? ?? ?? ??? ?? ??? ???? ? ?? ? ??.
,
???? ??????? ????? ?? ????.,???? ??? ?? ???? ?? ?? ???? ?? ??? ??? ????.
,
,
,
????? ?? ?????,"??? ??? ?? ???, ?? ??? ? ?? ????"
????? ??? ????,"??? ?? ??? ?? ?? ???, ?? ?? ? ? ????."
????? ??? ??? ?????,"???? ?? ??? ???? ? ?????, ????."
????? ??? ????? ??? ????,????? ??? ????? ? ???? ? ?? ?????.
2?? ????? ???? ????? ??????,2?? ??? ????? ????? ? ??? ?? ??????.
,
???? 4.19?????? ???? ??????.,???? 4.19?????? ?? ?? ???? ?? ?? ?? ???.
,
,
????? ??? ?????,? ?? ?? ?? ???? ? ???? ?? ????
???? ??????,? ? ?? ?? ??? ??? ?? ???? ?? ????
????? ?? ?????,"?? ??? ? ?????, ???? ? ? ????."
????? ???? ??????,??? ??? ??? ??? ????? ? ?????.
????? ???? ????,"?? ? ??? ???? ????, ? ??? ?????."
4.19???? ???? ????,4.19???? ??? ?? ???? ???? ??? ???.
????? ?? ?????,???? ?? ???? 30? ???? ?? ? ????
,
???? ???? ????? ??????.,???? ?? ?? ?? ?? ?? ??? ? ????.
,
,
,
???? ???? ??? ?????,"???? ???? ?? ??? ???, ?? ??? ? ????"
??? ??????,??? ????? ??? ?? ? ? ???.
??? ???? ????,??? ???? ?? ? ??? ? ?? ???…
??? ??? ??? ??? ??? ??????,??? ??? ?? ??? ????? ? ???? ? ? ????
??? ??????,"?? ??? ?? ????, ?? ? ????."
???? ?? ???? ?? ??? ??? ???? ????,?? ??? ?? ??? ?? ?? ?? ?? ????
,
??? ??? ? ?? ??????,"????? ??? ?? ?? ???, ?? ??? ?? ? ???."
????? ?? ??????,????? ?? ?? ? ???? ? ? ?? ?? ? ???
??? ?? ??????,??? ?? ??? ?? ??? ?? ????
????? ???????,"???? ??? ?? ? ???, ?? ??? ? ????."
???? ??? ???? ????,"?? ??? ??, ???? ???? ???"
,
?? ????? ????,????? ?? ? ????? ?? ??? ??????.
????? ???? ?????? ????,"???? ? ?? ?????, ???? ??? ???."
????? ?? ????,??? ?? ???? ???? ??? ????
???? ????? ??? ??????,???? ??? ??? ?? ?? ? ????
????? ??? ????,? ??? ?? ???? ?? ? ? ?? ????
????? ????,??? ???? ?? QR ?? ?????
???? ?????,"??? ??? ? ?????, ??? ???? ? ????."
,
??? ??? ??? ????,?? ??? ? ? ????
????? ??????,???? ????
??? ????? ????????,??? ? ?? ?? ?? ??? ? ??? ??? ? ???
????? ???? ????,??? ?? ???? ?? ?? ??? ? ??.
???? ?? ????? ?? ?????,????? ??? ?? ??? ?? ???? ???.
???? ???? ???? ????,???? ?? ?? ?? ???? ?? ???.
??? ????????,??? ?? ? ??????? ?? ??? ??? ? ???.
,
????? ????????,????? ?? ??? ?? ??? ??.
,
??? ??? ????,"??? ? ????, ? ??? ?? ????."
???? ???? ??? ?????,"???? ???? ?? ??? ??, ?? ??? ????"
????? ??????,"?? ??? ?????, ?? KTX ?? ??."
,
??????? ???? ??? ????,?????? ????? ????? ? ??? ?? ???
,
???? ?????? ????? ????,???? ???? ???? ???? ??? ? ????
????? ??? ????,"????? ??? ??, ?? ???? ???"
????? ????? ??? ??????,"???? ? ?? ??? ?? ??, ?????."
????? ??? ????,????? ??? ? ? ???? ???? ??.
????? ?? ?????,"??? ????, ??? ?? ? ? ???."
???? ??? ?????,???? ??? ???? ? ?? ?? ? ????
???? ?? ?? ????,???? ?? ? ???? ??? ??? ?? ????
,
??? ?? ???? ????,??? ?? ???? ??? ?? ?? ?? ????
? ???? ??? ??????,"? ??? ? ????? ??? ??, ?? ?? ? ?????."
,
???? ??? ? ??? ????,???? ??? ??? ?? ??? ?? ?? ?? ???
,
,
,
????? ??? ?????,"????? ??? ??? ???, ?? ? ??? ?????."
???? ??????,????? ????? ?? ???? ??????.
,
??? ????,??? ??? ??? ?? ??? ? ?? ??? ? ????.
4? ????  ????? ????,4? ???? ?? ???? ?? 4? ???? ? ?? ? ????
4???????? ????? ??????,4? ???? ?? ?? ? ??? ? ?? ?? ?????
????? ????? ????? ??? ????,????? ????? ?? ?? ??? ??? ??? ?? ?????
,
,
???? ???? ????,"? ? ?? ?? ????, ?? ???? ?? ? ?? ? ?????"
????? ????? ?? ??????,????? ???? ?? ? ??? ?? ?? ?? ??? ????.
????? ??? ????,"????? ????, ? ? ???? ???."
????? ?? ?????,????? ?? ????? ?? ???? ???
????? ?????? ?? ????? ?? ?????,????? ??? ?? ?? ???? ? ? ???? ?? ?? ??????.
????? ????? ?? 2???? ????,????? ????? 2??? ?? ???? ???? ?? ? ????
??? ??????,?? ??? ?? ??? ?? ?? ?? ?? ????
???? ???? ????? ?? ????.,???? ?? ??? ?? ??? ??? ? ?????.
,
,
,
??? ??? ?? ??????,???? ?? ??? ??? ?? ?? ? ?? ????
????? ????? ? ?? ??? ????,???? ???? ?? ?? ??? ?? ? ?? ? ?????
,
?? ??? ??? ??? ??? ????,?? ????? ??? ???? ?? ?? ???? ? ???
???? ??? ????,???? ??? ??? ???? ? ?? ???? ? ??????
????? ?? ??? ?? ?????,?? ?? ? ?? ?? ?? ?? ? ??? ??? ?? ??? ? ????.
??? ?? ??????? ????? ????? ??? ? ?????,?? ? ?? ?? ???? ????? ?? ?? ? ? ? ????
,
,
?? ?? ?????? ???? ? ????,?? ?? ?? ??????? ? ????? ? ???
,
,
,
,
? ?? ??? ??????,?? ??? ??????? ?? ?? ??? ??? ? ?????.
,
??????? ??????? ??? ??????,?? ???? ?? ???? ??? ?? ??? ?? ?? ????
,
??? ????? 2???? ????,? ?? ?? ?? 2???? ?? ? ??? ? ??????
?? ???? ????? ??????,?? ???? ??? ?? ???? ??? ?? ?? ????.
????? ??????,??? ??? ????? ???? ??? ??? ???
???? 24??? ??? ?????,????? 24???? ?? ?? ?? ????
??? ??? ??????,???? ????? ? ? ?? ??? ? ???
?? 24??????,?? 24?????? ?? ?? ?? ?? ????
24???? ??? ??? ? ?? ??????,24??? ?? ? ?? ?? ? ? ?? ? ??? ?? ? ?? ? ???
,
????? ???????? ????? ??????.,"????? ???? ?? ?? ?? ? ????, ?? ???."
,
????? ?? ?????,???? ? ? ? ????? ?? ??? ? ??? ??.
??????? ??? ?????,"?????? ?? ? ??? ??? ???, ?? ? ????"
????? ??????,????? ????? ? ??? ??? ???? ??.
???? ??? ??????,???? ?? ?? ? ??? ??? ? ?? ??? ???
?? ???? ????????,?? ???? ?? ??? ???? ?? 90??? ???.
????? ??? ????,????? ?? ????? 10???? 30???? ? ? ???.
???? ????? ????,???? ???? ??? ???? ? ? ??? ??????.
???? ???? ?????,????? ?? ??? ???? ??? ?? ?? ? ? ?? ???.
???? ?????? ????? ?? ????.,???? ???? ??? ?? ? ?? ??? ?? ??? ???? ?????.
,
???? ?? ????,? ? ?? ??? ?? ???? ?? ? ?? ? ????.
?????? ??? ?????,?????? ??? ?????? ?? ??? ?? ? ???.
????? ??????,????? ? ?????
??????? ?????? ??? ?????,????? ?????? ? ???? ?? ???? ??? ??? ??.
,
????? ??? ????,??????? ? ??? ??? ? ?? ??.
?? ??? ?????,?? ??? ?? ? ?? ???? ? ? ??? ??????.
?????? ????? ?? ?????,"?????? ??? ???? ? ?????, ??? ?????."
,
???? N?????? ????? ???????,???? N???? ??? ??? ?? ??? ???? ?? ? ????.
,
???? ?? ????,? ? ?? ?? ?? ???? ? ??? ????.
????? ??????,????? ????? ?? ??? ????.
M4101??? N?????? ????,M4101 ?? N?????? ?? ?? ???? ??? ? ????
????? ?? ?????,??? ??? ?? ??? ??? ? ?? ?? ????
???? ???? ????,?? ? ?? ? ?? ?? ???? ??? ????????.
???? ??? ?????,??? ? ?? ??? ???? ?? ?? ? ?? ?? ??????.
????? ?? ????,????? ?? ??? ?? ???? ????
??? ??? ????,??? ? ???? ??? ?? ? ???? ??.
